A,B,A*B in C,D,E,D+E in C,,Expected,Difference
50887,-711,-553,-2048,-553,-2601,,-552,1
65279,-3325,-3312,-2601,-3312,-5913,,-3312,0
57055,-2449,-2133,-5913,-2133,-8046,,-2132,1
0,1727,0,-8046,0,-8046,,,
0,-722,0,-8046,0,-8046,,,
0,-445,0,-8046,0,-8046,,,
0,322,0,-8046,0,-8046,,,
0,-1737,0,-8046,0,-8046,,,
0,-1075,0,-8046,0,-8046,,,
0,-963,0,-8046,0,-8046,,,
0,838,0,-8046,0,-8046,,,
0,1164,0,-8046,0,-8046,,,
0,-1289,0,-8046,0,-8046,,,
0,1133,0,-8046,0,-8046,,,
0,-944,0,-8046,0,-8046,,,
0,1118,0,-8046,0,-8046,,,
0,303,0,-8046,0,-8046,,,
0,635,0,-8046,0,-8046,,,
0,269,0,-8046,0,-8046,,,
514,-1966,-16,-8046,-16,-8062,,-15,1
50630,-402,-311,-8062,-311,-8373,,-311,0
59625,1740,1583,-8373,1583,-6790,,1583,0
23130,2954,1042,-6790,1042,-5748,,1043,1
0,774,0,-5748,0,-5748,,,
0,3780,0,-5748,0,-5748,,,
0,752,0,-5748,0,-5748,,,
0,-2038,0,-5748,0,-5748,,,
4112,-489,-31,-5748,-31,-5779,,-31,0
56027,-2365,-2022,-5779,-2022,-7801,,-2022,0
65279,1284,1278,-7801,1278,-6523,,1279,1
44976,-898,-617,-6523,-617,-7140,,-616,1
0,-1795,0,-7140,0,-7140,,,
0,-2040,0,-7140,0,-7140,,,
0,-928,0,-7140,0,-7140,,,
0,1410,0,-7140,0,-7140,,,
0,449,0,-7140,0,-7140,,,
0,156,0,-7140,0,-7140,,,
0,-182,0,-7140,0,-7140,,,
0,1547,0,-7140,0,-7140,,,
0,2196,0,-7140,0,-7140,,,
0,37,0,-7140,0,-7140,,,
0,-1432,0,-7140,0,-7140,,,
0,95,0,-7140,0,-7140,,,
0,-1506,0,-7140,0,-7140,,,
0,-1269,0,-7140,0,-7140,,,
0,-2489,0,-7140,0,-7140,,,
0,-2787,0,-7140,0,-7140,,,
29555,-1720,-776,-7140,-776,-7916,,-776,0
65279,316,314,-7916,314,-7602,,315,1
64765,-1797,-1776,-7602,-1776,-9378,,-1776,0
30840,2688,1264,-9378,1264,-8114,,1265,1
0,2598,0,-8114,0,-8114,,,
0,1413,0,-8114,0,-8114,,,
0,-2303,0,-8114,0,-8114,,,
0,-3249,0,-8114,0,-8114,,,
4369,-610,-41,-8114,-41,-8155,,-41,0
57055,-1114,-970,-8155,-970,-9125,,-970,0
65279,-1677,-1671,-9125,-1671,-10796,,-1670,1
57055,-1438,-1252,-10796,-1252,-12048,,-1252,0
0,-525,0,-12048,0,-12048,,,
0,-849,0,-12048,0,-12048,,,
0,-906,0,-12048,0,-12048,,,
0,-1350,0,-12048,0,-12048,,,
0,-26,0,-12048,0,-12048,,,
0,381,0,-12048,0,-12048,,,
0,1033,0,-12048,0,-12048,,,
0,-2096,0,-12048,0,-12048,,,
0,-574,0,-12048,0,-12048,,,
0,15,0,-12048,0,-12048,,,
0,-2051,0,-12048,0,-12048,,,
0,1154,0,-12048,0,-12048,,,
0,616,0,-12048,0,-12048,,,
0,479,0,-12048,0,-12048,,,
0,-2563,0,-12048,0,-12048,,,
1028,-2395,-38,-12048,-38,-12086,,-38,0
48574,-2063,-1530,-12086,-1530,-13616,,-1529,1
65279,-1318,-1313,-13616,-1313,-14929,,-1313,0
61167,-181,-169,-14929,-169,-15098,,-169,0
0,2729,0,-15098,0,-15098,,,
0,4780,0,-15098,0,-15098,,,
0,2323,0,-15098,0,-15098,,,
0,-2016,0,-15098,0,-15098,,,
0,-2073,0,-15098,0,-15098,,,
16191,-1734,-429,-15098,-429,-15527,,-428,1
65279,-1751,-1745,-15527,-1745,-17272,,-1744,1
65279,-1510,-1505,-17272,-1505,-18777,,-1504,1
57055,-2061,-1795,-18777,-1795,-20572,,-1794,1
0,-1203,0,-20572,0,-20572,,,
0,-31,0,-20572,0,-20572,,,
0,-778,0,-20572,0,-20572,,,
0,167,0,-20572,0,-20572,,,
0,546,0,-20572,0,-20572,,,
0,2279,0,-20572,0,-20572,,,
0,1165,0,-20572,0,-20572,,,
0,1713,0,-20572,0,-20572,,,
0,1751,0,-20572,0,-20572,,,
0,1566,0,-20572,0,-20572,,,
0,1683,0,-20572,0,-20572,,,
0,-2061,0,-20572,0,-20572,,,
0,1626,0,-20572,0,-20572,,,
